textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²);
"cb774db0d1,"" I`d have responded, if I were going"",""I`d have responded, if I were going"",neutral,morning,0-20,Afghanistan,38928346,652860,60";
549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative,noon,21-30,Albania,2877797,27400,105;
088c60f138,my boss is bullying me...,bullying me,negative,night,31-45,Algeria,43851044,2381740,18;
9642c003ef, what interview! leave me alone,leave me alone,negative,morning,46-60,Andorra,77265,470,164;
"358bd9e861,"" Sons of ****, why couldn`t they put them on the releases we already bought"",""Sons of ****,"",negative,noon,60-70,Angola,32866272,1246700,26";
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,night,70-100,Antigua and Barbuda,97929,440,223;
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive,morning,0-20,Argentina,45195774,2736690,17;
50e14c0bb8,Soooo high,Soooo high,neutral,noon,21-30,Armenia,2963243,28470,104;
e050245fbd, Both of you,Both of you,neutral,night,31-45,Australia,25499884,7682300,3;
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive,morning,46-60,Austria,9006398,8.24E+04,109;
"2339a9b08b,"" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"",""as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"",neutral,noon,60-70,Azerbaijan,10139177,82658,123";
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive,night,70-100,Bahamas,393244,10010,39;
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative,morning,0-20,Bahrain,1701575,760,2239;
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative,noon,21-30,Bangladesh,164689383,130170,1265;
bbe3cbf620,test test from the LG enV2,test test from the LG enV2,neutral,night,31-45,Barbados,287375,430,668;
"8a939bfb59,""Uh oh, I am sunburned"",""Uh oh, I am sunburned"",negative,morning,46-60,Belarus,9449323,202910,47";
"3440297f8b,"" S`ok, trying to plot alternatives as we speak *sigh*"",*sigh*,negative,noon,60-70,Belgium,11589623,30280,383";
"919fa93391,""i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"",sick,negative,night,70-100,Belize,397628,22810,17";
af3fed7fc3,is back home now      gonna miss every one,onna,negative,morning,0-20,Benin,12123200,112760,108;
40e7becabf,Hes just not that into you,Hes just not that into you,neutral,noon,21-30,Bhutan,771608,3.81E+04,20;
"04d17ef61e,"" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"",""oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"",neutral,night,31-45,Bolivia,11673021,1083300,11";
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive,morning,46-60,Bosnia and Herzegovina,3280819,51000,64;
7de057cf40,is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,neutral,noon,60-70,Botswana,2351627,566730,4;
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,night,70-100,Brazil,212559417,8358140,25;
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,morning,0-20,Brunei,437479,5270,83;
"e00c6ef376,""the free fillin` app on my ipod is fun, im addicted"",""the free fillin` app on my ipod is fun, im addicted"",positive,noon,21-30,Bulgaria,6948445,108560,64";
852edc3769,  I`m sorry.,I`m sorry.,negative,night,31-45,Burkina Faso,20903273,273600,76;
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative,morning,46-60,Burundi,11890784,25680,463;
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive,noon,60-70,Côte d'Ivoire,26378274,318000,83
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,night,70-100,Cabo Verde,555987,4.03E+03,138;
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,morning,0-20,Cambodia,16718965,176520,95;
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,positive,noon,21-30,Cameroon,26545863,472710,56;
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,night,31-45,Canada,37742154,9093510,4;
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive,morning,46-60,Central African Republic,4829767,622980,8;
"d21ab5855b,"" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."",""Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."",neutral,noon,60-70,Chad,16425864,1259200,13";
"4f5267ad70,""Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4"",""Thats it, its the end. Tears for Fears"",neutral,night,70-100,Chile,19116201,743532,26";
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative,morning,0-20,China,1439323776,9388211,153;
"1cbc812ece,""just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"",""just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"",neutral,noon,21-30,Colombia,50882891,1109500,46";
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,night,31-45,Comoros,869601,1861,467;
"2863f435bd,""A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"",A little happy fo,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,3.42E+05,16";
"d93afa85cf,"" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"",""Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"",neutral,noon,60-70,Costa Rica,5094118,51060,100";
